"island","presence","sex","svl","Jaw.length","Width","Height","Outlever","Open.inlever","Close.inlever","Head.length"
"hook",1,"f",47.4,12.821,7.337,4.99,11.022,1.406,2.308,8.698
"yin",1,"f",51.98,13.481,7.183,5.32,11.699,1.398,2.486,9.512
"s.twin",0,"f",48.58,12.551,6.946,4.68,10.782,1.397,2.51,9.072
"s.twin",0,"m",55.09,15.95,8.425,5.5,14.478,1.104,3.654,11.438
"s.twin",0,"m",57.37,16.806,8.872,5.2,14.549,1.832,3.586,11.515
"yang",1,"f",49.29,12.987,7.17,4.77,11.284,1.332,2.652,8.984
"yang",1,"f",46.62,11.914,6.724,4.7,10.345,1.202,2.181,8.438
"yang",1,"m",58.03,16.722,8.574,5.83,14.727,1.625,3.595,12.179
"yang",1,"f",45.93,11.686,6.615,4.5,10.198,1.145,2.238,8.491
"yang",1,"m",55.15,15.971,7.846,5.74,13.955,1.726,3.226,10.924
"yang",1,"f",49.86,13.009,7.194,4.84,11.464,1.199,2.493,8.226
"yang",1,"m",56.78,17.039,8.58,6.02,14.776,1.862,3.431,11.628
"yang",1,"m",55.03,15.795,8.473,5.95,14.073,1.297,3.386,10.56
"yang",1,"m",53.27,14.861,7.657,5.39,13.184,1.297,3.009,10.718
"yang",1,"f",57.18,11.641,6.513,4.56,10.563,0.789,2.368,9.165
"yang",1,"f",48.54,12.567,6.836,5.21,11.09,1.167,2.623,8.644
"osprey",0,"m",55.77,16.105,8.488,5.32,14.032,1.667,3.31,11.056
"osprey",0,"f",46.7,11.28,6.426,4.4,9.958,0.991,2.179,8.246
"osprey",0,"f",46.3,12.565,6.667,4.49,11.086,1.172,2.514,9.239
"osprey",0,"f",45.97,11.882,6.352,4.29,10.573,1.089,2.215,8.753
"osprey",0,"m",58.73,17.334,8.271,6.13,15.208,1.781,3.399,11.879
"crescent",0,"m",59.48,17.663,9.353,6.29,15.139,2.027,3.233,12.048
"crescent",0,"m",57.03,15.983,8.719,6.09,13.975,1.563,3.651,11.46
"crescent",0,"m",57.83,16.665,8.857,6.09,14.762,1.526,3.715,11.43
"crescent",0,"m",58.47,17.417,9.142,6,15,1.952,3.81,11.999
"crescent",0,"f",48.7,12.989,7.481,5.02,11.064,1.485,2.45,9.269
"crescent",0,"m",58.71,16.897,8.877,6.06,14.577,1.869,3.551,11.4
"crescent",0,"m",59.44,17.605,9.337,6.18,15.243,1.855,3.668,12.474
"crescent",0,"m",57.47,17.111,9.358,5.84,14.803,1.773,3.399,12.058
"crescent",0,"m",56.76,17.057,9.141,5.99,14.833,1.784,3.565,12.132
"n.twin",1,"f",50.54,13.292,7.369,5.29,11.519,1.359,2.749,10.006
"n.twin",1,"m",58.45,16.955,8.526,5.8,14.811,1.716,3.65,11.602
"n.twin",1,"m",59.2,17.896,9.303,5.96,15.51,1.967,3.361,11.912
"n.twin",1,"m",59.07,17.417,9.414,6.12,14.961,1.976,3.956,11.909
"n.twin",1,"m",59.78,17.996,9.401,6.22,15.71,1.83,4.164,12.166
"n.twin",1,"m",52.25,14.805,7.835,5,12.84,1.618,3.242,10.792
"n.twin",1,"f",48,12.829,7.169,4.58,11.027,1.451,2.681,8.943
"n.twin",1,"m",58.66,17.23,8.68,6.25,15.041,1.792,3.725,11.694
"n.twin",1,"f",43.75,11.594,6.71,4.12,10.234,1.057,2.104,8.597
"s.twin",0,"m",57.66,17.012,8.669,6.02,14.996,1.665,3.804,11.858
"s.twin",0,"m",59.25,17.098,9.199,5.92,14.821,1.832,3.812,11.669
"s.twin",0,"f",46.74,12.53,6.896,4.68,10.855,1.31,2.668,8.612
"s.twin",0,"m",56.01,16.612,8.373,5.34,14.252,1.987,3.372,11.656
"s.twin",0,"f",46.43,12.207,6.47,4.42,10.64,1.281,2.457,8.22
"s.twin",0,"f",47.02,11.736,6.52,4.36,10.233,1.147,2.34,8.035
"s.twin",0,"f",46.16,12.47,6.888,4.79,10.567,1.555,2.501,9.154
"s.twin",0,"m",54.88,15.189,8.117,5.32,13.362,1.474,3.435,11.127
"s.twin",0,"f",46.5,12.268,6.818,4.45,10.526,1.424,2.284,8.962
"s.twin",0,"m",54.87,15.737,8.246,5.27,13.402,1.938,3.289,10.65
"s.twin",0,"f",44.4,11.066,6.227,4.3,9.796,0.876,2.245,8.382
"s.twin",0,"f",49.19,12.419,6.834,4.8,10.636,1.427,2.465,8.752
"hornet",0,"f",49.09,12.552,6.925,4.43,10.977,1.189,2.492,9.359
"hornet",0,"m",54.17,15.556,8.369,5.35,13.411,1.733,3.365,10.671
"hornet",0,"m",62.29,17.274,9.817,6.23,14.908,1.862,4.095,12.385
"hornet",0,"m",59.91,16.736,9.249,6.06,14.415,1.774,3.34,12.287
"hornet",0,"m",57.37,16.276,8.761,5.9,13.955,1.857,3.288,11.623
"hornet",0,"m",57.44,16.504,8.833,5.7,14.167,1.859,3.651,11.742
"hornet",0,"f",44.29,11.526,6.756,4.42,9.798,1.359,2.28,7.624
"hornet",0,"m",60.44,17.736,8.78,5.8,15.291,1.986,3.688,12.706
"hornet",0,"f",45.86,11.825,6.905,4.39,10.115,1.349,2.388,8.867
"hornet",0,"m",57.48,17.041,9.325,5.68,15.09,1.446,3.604,11.988
"hornet",0,"f",45.58,12.395,6.872,4.52,10.556,1.455,2.316,8.498
"hornet",0,"m",57.86,16.197,8.782,5.76,14.128,1.604,3.389,11.649
"hook",1,"m",57.27,16.626,8.882,6.16,14.304,1.839,3.492,11.769
"hook",1,"m",56.93,17.03,9.086,5.85,14.7,1.824,3.833,12.366
"hook",1,"m",57.67,16.199,8.961,5.92,13.891,1.852,3.344,11.653
"hook",1,"f",48.66,12.222,7.097,4.58,10.366,1.4,2.448,8.442
"hook",1,"m",57.92,16.639,8.754,5.6,14.292,1.93,3.368,11.75
"hook",1,"m",57.57,16.59,9.437,6.09,14.242,1.809,3.622,11.618
"hook",1,"f",45.01,11.63,6.932,4.46,10.015,1.2,2.406,8.096
"hook",1,"m",56.76,16.225,8.936,5.76,13.914,1.834,3.557,10.811
"hook",1,"m",56.03,17.492,9.588,5.81,15.212,1.804,3.687,12.789
"hook",1,"f",46.24,11.992,7.107,4.84,10.317,1.25,2.213,8.908
"hook",1,"m",57.33,16.383,9.14,5.98,13.948,1.903,3.522,11.33
"hook",1,"f",47.37,11.972,7.056,4.46,10.241,1.338,2.124,8.664
"hook",1,"f",44.18,11.311,6.25,4.29,9.768,1.215,2.05,8.727
"hook",1,"m",60.58,17.625,9.602,6.11,15.048,2.074,3.704,12.378
"hook",1,"m",54.84,15.324,8.075,5.46,13.257,1.693,2.997,11.256
"lizard",1,"m",60.75,17.022,9.259,6.02,14.798,1.699,3.768,12.277
"lizard",1,"m",56.91,15.701,8.112,5.41,13.665,1.633,3.249,11.102
"lizard",1,"m",59.34,16.7,9.362,5.88,14.741,1.468,3.701,12.087
"lizard",1,"m",58.22,16.266,8.74,5.76,14.214,1.582,3.308,12.189
"yin",1,"m",63.32,18.093,9.828,6.34,15.538,2.095,3.866,12.29
"yin",1,"m",57.44,16.781,9.219,6.18,14.515,1.807,3.374,11.563
"yin",1,"m",59.53,16.76,9.182,6.06,14.44,1.825,3.283,11.22
"yin",1,"m",58.43,17.366,9.161,6.17,15.171,1.789,3.733,11.71
"yin",1,"m",56.36,16.44,9.246,5.88,14.303,1.722,3.423,11.819
"yin",1,"f",49.64,12.873,7.003,4.8,11.272,1.269,2.559,9.394
"yin",1,"f",51.89,13.021,7.41,4.73,11.248,1.312,2.697,10.085
"yin",1,"m",59.87,17.571,9.236,6.11,15.143,1.999,3.713,12.382
"yin",1,"m",61.16,17.634,9.372,6.4,15.213,1.97,3.76,12.132
"channel",1,"m",55.31,16.619,8.798,5.5,14.648,1.45,3.491,11.638
"channel",1,"m",58.54,17.783,9.309,5.91,15.391,1.948,3.157,12.374
"s.twin",0,"m",61.86,17.828,9.173,6.22,15.334,2.082,3.851,12.43
"s.twin",0,"m",56.99,16.304,8.575,5.4,14.14,1.809,3.476,11.236
"s.twin",0,"f",49.57,13.116,7.047,4.66,11.329,1.427,2.665,9.52
"s.twin",0,"m",56.37,16.81,8.921,5.64,14.61,1.758,3.71,11.653
"s.twin",0,"m",57.02,17.079,8.718,5.6,14.866,1.831,3.544,12.368
"channel",1,"m",57.51,17.425,8.659,5.87,15.334,1.72,3.315,13.142
"channel",1,"f",46.38,12.461,6.771,4.34,10.594,1.472,1.958,9.244
"channel",1,"f",44.11,11.539,6.236,4.22,10.039,1.146,1.962,8.634
"n.twin",1,"m",58.22,16.327,8.944,5.89,14.367,1.523,3.588,11.473
"n.twin",1,"m",60.82,18.016,8.964,6.22,15.661,1.984,3.869,12.735
"n.twin",1,"m",58.11,16.987,9.076,5.94,14.85,1.673,3.707,11.691
"n.twin",1,"f",47.9,13.087,6.98,4.6,11.511,1.223,2.738,9.338
"n.twin",1,"m",57.98,17.094,9.079,5.78,14.916,1.793,3.721,12.391
"n.twin",1,"f",48.46,12.95,7.068,4.61,11.179,1.421,2.332,8.963
"channel",1,"f",43.81,11.395,6.405,4.33,10.023,1.119,1.954,8.311
"osprey",0,"m",58.52,17.038,8.488,5.69,15.019,1.66,3.243,12.682
"osprey",0,"m",55.31,16.051,8.263,5.23,14.098,1.554,3.192,11.286
"osprey",0,"m",58.64,17.444,9.335,5.55,15.24,1.683,3.458,12.594
"osprey",0,"m",55.29,16.613,8.801,5.38,14.53,1.682,3.243,12.223
"osprey",0,"m",56.29,16.188,8.364,5.42,14.325,1.488,3.317,12.112
"osprey",0,"m",53.34,15.53,7.905,5.11,13.48,1.667,3,11.527
"yang",1,"m",60.46,17.458,8.864,5.82,15.237,1.811,3.095,12.951
"yang",1,"m",56.94,15.914,8.431,5.52,13.934,1.643,3.318,11.985
"yang",1,"m",58.43,17.402,9.098,5.98,15.401,1.628,3.716,12.551
"yang",1,"m",55.52,16.285,8.236,5.37,14.165,1.755,3.156,11.952
"yang",1,"m",55.79,16.636,8.604,5.77,14.698,1.516,3.366,11.635
"yang",1,"m",56.43,16.4,8.766,5.6,14.528,1.529,3.381,12.193
"yang",1,"m",55.84,16.155,8.198,5.71,14.284,1.522,3.334,12.093
"yang",1,"m",56.84,16.885,8.24,5.82,14.818,1.751,3.15,12.097
"yang",1,"m",55.29,16.042,8.071,5.55,14.181,1.585,3.102,11.495
"yang",1,"f",47.81,12.906,6.745,4.38,11.259,1.328,2.413,9.471
"crescent",0,"m",59.85,17.384,9.188,6.17,15.111,1.847,3.373,12.398
"crescent",0,"m",56.65,16.206,9.021,6.03,14.187,1.557,3.562,11.281
"crescent",0,"m",60.92,17.625,9.572,6.3,15.426,1.773,3.907,12.185
"crescent",0,"m",61.17,17.858,9.058,6.26,15.49,1.957,3.861,12.402
"crescent",0,"m",59.2,17.241,9.102,6.02,15.017,1.828,3.847,12.448
"crescent",0,"m",54.26,14.918,7.977,5.31,13.195,1.369,3.036,11.091
"crescent",0,"m",58.32,16.881,8.555,5.47,14.657,1.875,3.316,11.822
"crescent",0,"m",60.95,17.722,9.297,6.01,15.397,1.861,3.75,13.03
"crescent",0,"m",57.62,15.86,8.75,5.93,13.865,1.526,3.32,11.1
"crescent",0,"m",59.56,16.684,9.231,5.96,14.466,1.78,3.504,11.631
"crescent",0,"f",51.16,13.146,7.56,4.79,11.435,1.264,2.51,9.205
"crescent",0,"m",58.94,17,9.475,6.31,14.662,1.853,3.776,11.847
"channel",1,"m",58.85,17.783,9.238,5.95,15.618,1.762,3.428,12.857
"channel",1,"m",60.24,17.779,9.339,6.18,15.567,1.744,3.709,12.728
"channel",1,"m",54.1,15.483,8.395,5.64,13.465,1.598,3.287,11.333
"channel",1,"f",43.53,11.161,6.251,4.1,9.747,1.11,2.08,8.267
"channel",1,"m",57.94,17.024,8.646,5.63,14.813,1.771,3.414,12.416
"channel",1,"f",44.26,11.925,6.632,4.29,10.451,1.144,2.022,8.662
"channel",1,"m",52.15,15.107,7.761,5.16,13.158,1.583,3.056,10.614
"yin",1,"m",59.62,16.794,9.241,5.91,14.534,1.764,3.29,11.623
"lizard",1,"m",59.66,17.771,9.302,5.8,15.409,1.867,3.718,12.233
"lizard",1,"m",56.72,16.728,8.67,5.75,14.337,2.005,3.237,12.392
"lizard",1,"m",58.53,16.088,8.293,5.41,14.106,1.578,3.334,11.623
"lizard",1,"m",59.04,17.693,8.951,6.04,15.379,1.856,3.571,12.953
"lizard",1,"m",58.02,16.33,8.364,5.49,14.276,1.682,3.317,11.729
"lizard",1,"f",48.22,12.233,6.658,4.76,10.665,1.221,2.324,8.919
"lizard",1,"m",52.47,14.825,7.924,5.25,12.88,1.574,3.005,10.68
"lizard",1,"f",46.9,11.754,6.539,4.34,10.384,1.056,2.212,8.847
"lizard",1,"f",46.69,12.209,6.891,4.7,10.519,1.323,2.171,9.057
"lizard",1,"m",58.8,17.128,8.876,5.89,14.809,1.941,3.577,12.148
"lizard",1,"f",44.05,11.316,6.939,4.62,10.155,0.837,2.284,8.566
"hook",1,"m",56.65,16.277,8.876,5.49,14.231,1.584,3.543,11.893
"hook",1,"f",46.72,12.807,7.146,4.49,10.954,1.489,2.311,9.566
"hook",1,"m",56.24,17.148,9.214,5.9,15.09,1.659,3.266,12.83
"hook",1,"m",56.41,16.863,8.315,5.64,14.821,1.653,3.522,12.519
"hook",1,"m",57.25,16.723,9.012,6.05,14.307,2.004,3.397,12.251
"hook",1,"f",47.46,11.95,6.687,4.27,10.332,1.293,2.438,8.492
"hook",1,"m",57.96,17.211,8.91,6.04,14.912,1.798,3.814,11.891
"hook",1,"m",54.84,15.922,8.094,5.62,13.903,1.666,3.142,11.243
"yang",1,"m",55.31,16.033,8.589,5.92,13.929,1.711,3.199,11.357
"yang",1,"m",58.23,16.55,8.691,5.43,14.57,1.566,3.251,12.043
"yang",1,"m",54.86,15.38,8.405,5.71,13.513,1.468,3.147,11.232
"yang",1,"f",48.48,12.821,6.907,4.65,11.108,1.401,2.522,9.279
"yang",1,"m",57.56,17.591,8.81,6.02,15.444,1.735,3.201,12.995
"yang",1,"m",57.37,17.099,9.048,5.58,14.748,1.947,3.474,12.057
"yang",1,"f",48.42,11.946,6.61,4.3,10.573,1.101,2.267,9.206
"yang",1,"f",49.25,13.025,7.242,4.82,11.195,1.433,2.334,9.622
"yang",1,"m",59.04,16.836,9.02,6.06,14.445,1.971,3.147,12.55
"yang",1,"m",54.23,15.037,7.761,5.33,13.083,1.582,2.924,11.045
"pine",0,"f",48.43,12.775,6.907,4.46,11.055,1.344,2.529,9.151
"pine",0,"m",52.9,15.537,8.351,5.33,13.71,1.435,3.238,11.033
"pine",0,"f",48.27,12.385,7.03,4.65,10.709,1.341,2.363,8.99
"pine",0,"f",35.7,11.753,6.762,4.44,10.091,1.285,2.378,8.094
"pine",0,"m",59.76,17.006,9.165,5.48,14.6,1.904,3.595,11.504
"pine",0,"m",58.89,16.977,8.913,5.76,14.825,1.715,3.616,11.775
"pine",0,"m",56.39,16.647,8.894,5.64,14.46,1.733,3.662,11.785
"pine",0,"m",55.16,16.036,8.22,5.51,13.958,1.723,3.149,11.175
"pine",0,"f",46.6,11.945,6.686,4.47,10.306,1.299,2.197,8.204
"channel",1,"m",59.66,17.155,9.363,6.16,14.898,1.815,3.48,12.156
"channel",1,"m",60.15,17.411,9.252,6.41,15.185,1.723,3.46,12.148
"channel",1,"m",57.97,15.982,8.715,6.04,13.903,1.599,3.257,11.136
"channel",1,"m",46.34,13.109,7.276,4.8,11.318,1.432,2.309,9.055
"channel",1,"f",49.92,13.143,7.307,4.98,11.403,1.36,2.466,9.092
"channel",1,"m",57.16,16.317,8.576,5.76,14.168,1.699,3.27,11.393
"channel",1,"m",55.74,16.488,8.717,5.56,14.246,1.767,3.345,12.613
"channel",1,"m",60.78,17.61,8.935,6.22,15.485,1.702,3.786,12.628
"osprey",0,"m",55.19,16.368,8.561,5.65,14.294,1.683,3.368,11.551
"osprey",0,"m",54.22,15.217,7.904,5.29,13.097,1.761,3,10.291
"osprey",0,"m",59.08,17.277,8.887,5.94,15.178,1.685,3.475,12.138
"osprey",0,"m",59.18,17.044,9.201,5.64,14.781,1.72,3.36,11.967
"osprey",0,"m",55.36,16.175,7.844,5.31,14.331,1.527,3.279,11.772
"osprey",0,"m",53.08,15.78,8.095,5.48,13.58,1.812,3.137,11.252
"pine",0,"m",55.52,16.796,8.312,5.63,14.589,1.849,3.448,12.289
"pine",0,"m",58.59,17.16,9.056,5.55,14.831,1.808,3.385,12.507
"pine",0,"f",47.85,12.751,7.13,4.5,10.822,1.539,2.359,8.845
"pine",0,"f",44.8,12.102,6.65,4.24,10.314,1.382,2.301,8.226
"pine",0,"m",57.19,16.89,8.389,5.59,14.707,1.839,3.521,12.135
"pine",0,"m",55.62,16.284,8.303,5.49,14.205,1.703,3.286,11.864
"pine",0,"m",50.64,14.914,7.487,4.81,12.825,1.652,2.934,10.627
"pine",0,"m",55.34,16.134,8.323,5.31,14.131,1.592,3.243,11.403
"pine",0,"m",52.45,16.314,8.582,5.48,14.339,1.556,3.1,11.953
"hook",1,"m",58.73,17.208,9.234,5.95,14.878,1.928,3.711,12.24
"hook",1,"m",53.9,15.666,8.494,5.69,13.355,1.862,3.196,11.246
"yang",1,"f",48.8,12.832,7.154,4.74,11.102,1.328,2.586,9.3
"yang",1,"m",58.38,16.584,8.868,5.86,14.531,1.651,3.349,12.362
"channel",1,"f",46.58,12.046,6.712,4.7,10.427,1.266,2.182,8.662
"channel",1,"m",60.14,17.973,9.246,6.1,15.734,1.837,3.461,12.319
"channel",1,"m",58.49,17.067,8.777,6.26,15.063,1.619,3.5,12.102
"channel",1,"m",61.35,18.562,9.999,6.24,16.081,1.988,3.705,13.099
"channel",1,"m",57.32,16.79,8.915,5.98,14.728,1.645,3.459,12.753
"yin",1,"m",57.71,16.557,8.583,5.69,14.292,1.84,3.016,11.699
"yin",1,"m",57.91,16.92,8.786,5.79,14.686,1.871,3.25,12.661
"yin",1,"m",53.03,15.311,8.005,5.31,13.198,1.712,2.718,10.765
"yin",1,"f",48.58,12.834,7.259,4.58,11.066,1.387,2.622,9.249
"yin",1,"m",60.83,17.853,9.241,6.18,15.304,2.095,3.526,12.7
"yin",1,"f",48.58,13.041,6.962,4.81,11.063,1.627,2.287,9.355
"yin",1,"f",47.68,12.552,6.747,4.72,10.632,1.582,2.412,8.753
"pine",0,"m",57.99,17.311,8.353,5.7,15.005,1.989,3.45,12.725
"pine",0,"m",55.03,16.103,8.406,5.35,13.976,1.669,3.246,11.547
"pine",0,"m",49.23,13.961,7.275,4.84,12.102,1.502,2.656,9.815
"pine",0,"m",58.52,17.369,9.035,5.75,14.9,1.97,3.941,11.92
"pine",0,"m",55.08,16.229,8.196,5.35,14.01,1.764,3.002,11.811
"pine",0,"f",46.54,12.236,6.997,4.49,10.366,1.473,2.387,8.602
"pine",0,"m",58.98,17.49,8.835,5.9,15.109,1.919,3.67,11.931
"hornet",0,"m",55.45,16.072,8.752,6.06,13.92,1.748,3.51,10.612
"hornet",0,"m",57.88,16.53,8.612,5.82,14.533,1.567,3.611,11.023
"s.twin",0,"m",61.64,17.976,9.209,6.06,15.646,1.901,4.036,11.959
"s.twin",0,"m",54.31,15.107,8.015,5.36,13.179,1.534,3.363,10.182
"yin",1,"m",58.09,17.018,9.712,6.78,14.774,1.767,3.492,12.141
"lizard",1,"m",57.35,16.444,8.603,5.72,14.34,1.677,3.117,11.266
"lizard",1,"m",57.39,15.635,8.268,5.62,13.963,1.272,3.263,11.13
"crescent",0,"m",59.9,16.817,8.746,6.11,14.555,1.901,3.449,11.188
"crescent",0,"f",48.49,13.017,7.285,4.47,11.186,1.455,2.724,8.713
"hornet",0,"m",55.64,13.017,7.285,5.69,11.186,1.455,2.724,8.713
"s.twin",0,"f",48.08,12.595,7.199,4.88,11.056,1.198,2.611,9.163
"s.twin",0,"m",53.85,16.015,7.64,5.04,14.433,1.289,3.391,11.657
"s.twin",0,"m",58.53,17.344,8.785,5.98,15.28,1.635,3.552,11.776
"s.twin",0,"m",58.56,17.169,9.003,5.86,14.889,1.835,3.801,11.942
"s.twin",0,"m",54.61,16.54,8.662,5.44,14.506,1.651,3.396,11.803
"s.twin",0,"f",48.94,12.718,7.256,4.8,11.141,1.225,2.619,9.083
"hornet",0,"m",57.5,16.278,8.551,6.01,14.039,1.825,3.462,11.528
"hornet",0,"m",58.3,16.776,8.898,6.01,14.483,1.857,3.54,11.845
"hornet",0,"m",58.12,16.808,9.173,6.01,14.519,1.779,3.764,11.949
"hornet",0,"f",49.4,11.95,6.957,4.64,10.35,1.192,2.437,8.769
"hornet",0,"m",58.14,18.873,10.035,6.07,16.291,2.063,4.121,12.496
"hornet",0,"m",58.46,16.737,8.791,5.78,14.305,2.055,3.382,11.069
"lizard",1,"m",58.79,17.294,9.655,5.96,14.925,1.864,3.912,12.043
"lizard",1,"m",57.34,16.813,8.321,5.55,14.711,1.724,3.773,11.612
"lizard",1,"m",52.95,14.44,7.418,5.17,13.014,1.166,3.07,10.692
"lizard",1,"m",59.93,16.744,8.68,5.92,14.505,1.839,3.402,11.812
"lizard",1,"m",51.79,14.106,7.499,4.97,12.38,1.314,2.848,9.815
"s.twin",0,"m",55.04,16.602,8.46,5.59,14.613,1.634,3.269,12.017
"lizard",1,"m",56.79,16.599,8.374,5.66,14.46,1.777,3.205,11.444
"lizard",1,"m",54.89,15.667,8.303,5.67,13.772,1.511,3.394,11.13
"lizard",1,"m",53.17,14.981,7.921,5.11,13.038,1.58,3.151,10.227
"hornet",0,"m",55.57,16.686,8.878,5.75,14.32,1.976,3.558,12.101
"hornet",0,"f",52.39,13.263,7.529,5.18,11.29,1.534,2.622,9.535
"hornet",0,"m",56.15,16.25,8.793,5.79,14.052,1.668,3.452,11.256
"hornet",0,"m",55.15,15.232,8.644,5.11,13.341,1.382,3.082,10.783
"hornet",0,"m",57.41,16.57,9.078,5.83,14.311,1.767,3.433,11.737
"s.twin",0,"m",57.34,16.331,8.451,5.32,14.301,1.624,3.46,11.413
"osprey",0,"m",59.76,17.152,9.022,5.78,14.845,1.849,3.229,12.888
"osprey",0,"m",59.38,16.898,8.764,5.56,14.788,1.673,3.609,13.115
"osprey",0,"f",48.3,12.443,6.666,4.31,11.19,0.953,2.429,8.856
"osprey",0,"f",43.96,11.558,6.385,4.2,10.242,1.039,1.924,8.612
"osprey",0,"f",45.01,11.828,6.483,4.4,10.471,1.081,2.248,9.114
"s.twin",0,"m",59.63,17.655,9.058,5.71,15.36,1.868,3.679,12.29
"lizard",1,"m",52.5,15.741,8.485,5.86,13.574,1.69,3.164,11.043
"lizard",1,"f",46.21,11.68,6.602,4.39,10.188,1.16,2.15,8.421
"s.twin",0,"f",48.64,12.91,6.988,4.46,11.162,1.419,2.42,9.531
"s.twin",0,"m",57.51,16.558,9.169,5.49,14.317,1.801,3.475,11.638
"s.twin",0,"f",47.76,12.99,7.122,4.64,11.127,1.526,2.424,9.416
"s.twin",0,"m",51.56,15.137,7.844,5.05,13.222,1.558,2.858,11.005
"s.twin",0,"f",45.06,11.635,6.297,4.28,10.218,1.133,2.237,8.24
"s.twin",0,"f",49.58,12.495,6.841,4.39,10.936,1.209,2.597,8.961
"hornet",0,"f",48.94,12.234,7.322,4.71,10.447,1.314,2.359,8.767
"hornet",0,"f",50.24,12.723,7.268,4.66,10.907,1.366,2.553,9.346
"hornet",0,"f",49.34,12.107,6.924,4.7,10.682,1.095,2.409,8.849
"lizard",1,"f",48.27,12.755,6.709,4.7,11.339,1.102,2.343,9.413
"lizard",1,"f",45.28,12.01,6.684,4.51,10.295,1.345,2.03,8.635
"lizard",1,"f",46.71,12.255,6.619,4.79,10.465,1.469,2.28,8.515
"lizard",1,"f",50.17,13.381,7.164,4.85,11.459,1.55,2.388,9.465
"pine",0,"m",55.2,16.098,8.481,5.4,13.866,1.808,3.384,11.336
"pine",0,"m",54.21,15.272,8.27,5.35,13.267,1.538,3.364,11.152
"lizard",1,"f",46.24,12.622,6.771,4.64,10.773,1.483,2.19,9.159
"yin",1,"m",60.44,17.364,9.164,6.44,14.932,1.929,3.406,12.331
"lizard",1,"m",61.45,17.709,8.824,6.18,15.527,1.791,3.9,12.499
"lizard",1,"m",59.27,17.579,8.772,5.9,15.378,1.791,3.68,12.642
"lizard",1,"m",58.71,16.917,9.203,6.07,14.688,1.729,3.734,11.373
"lizard",1,"f",47.53,12.495,6.951,4.41,10.858,1.235,2.573,9.048
"lizard",1,"f",46.82,12.019,6.817,4.48,10.317,1.358,1.99,8.739
"crescent",0,"m",57.66,16.897,9.141,5.81,14.57,1.902,3.427,11.425
"lizard",1,"m",56.91,17.523,8.97,5.77,15.163,1.933,3.414,11.945
"lizard",1,"f",47.23,11.951,6.625,4.58,10.293,1.345,2.193,8.536
"lizard",1,"m",52.4,14.303,7.458,4.87,12.381,1.582,2.7,10.655
